1,Budi Santoso,budi.santoso@gmail.com,08123456789,12/05/2024,active
4,Dedi Setiadi,budi.santoso@gmail.com,08123456789,15/08/2024,aktive
5,EKA PUTRI,eka.putri@gmail.com,08155566778,2024-09-20,BANNED
6,Fajar Nugraha,fajar.n@gmail.com,08199988776,05-11-24,INACTIVE
9,BELLA PUTRI,b.putri@gmail.com,08275172253,2024-10-19,banned
10,Ani Anggraini,ani10@gmail.com,08078507196,15/12/2024,active
11,Maman Handayani,budi.santoso@gmail.com,08123456789,23-12-2024,actve
14,budi santoso,budi_sant@gmail.com,08994360314,10-04-25,INACTIVE
15,Lina Yuliana,lina_yuli@gmail.com,08893711437,13/07/2024,ACTIVE
18,Maman Siregar,maman.sir18@gmail.com,08088298256,30/01/2025,inactive
22,hani Saputra,maman.sir18@gmail.com,08088298256,05/02/2025,INACTIVE
26,Maman Yuliana,maman.yul26@gmail.com,08250846692,11/06/25,active
31,Teguh Pangestu,teguh.pangestu@gmail.com,08749952986,05-02-2025,banned
37,jihan ramadhani,jihan.ram37@gmail.com,08859056311,22/03/2025,Active
39,Joko Kurniawan,joko.kur39@gmail.com,08848782816,25-01-25,actve
40,Salsa Rahmawati,salsa40@gmail.com,08114534616,2025-04-03,actve
42,Salsa Pratama,salsa.pra42@gmail.com,08273549162,27-11-24,inactive
43,BELLA SAPUTRA,b.saputra@gmail.com,08112273804,28-05-2024,active
50,Maman Anggraini,m.anggraini@gmail.com,08808525751,21-03-2025,Active
52,Mila Aditya,mila.aditya@gmail.com,08656953616,17-05-25,active
59,Dian Kusuma,dian_kusu@gmail.com,08634846728,07/07/24,BANNED
60,Umar Hamzah,umar.hamzah@gmail.com,08954649213,2025-01-21,INACTIVE
69,LUKMAN PUTRI,l.putri@gmail.com,08880338083,03/06/24,banned
84,Indra Syahputra,i.syahputra@gmail.com,08370236335,25/06/24,active
85,oki permana,i.syahputra@gmail.com,08370236335,13/10/2024,baned
92,Nina Hamzah,nina.hamzah@gmail.com,08167550213,30/04/2025,Active
94,Gani Anggraini,gani.anggraini@gmail.com,08027158799,21/02/2025,ACTIVE
101,Dedi Saputra,dedi101@gmail.com,08722578307,22-06-24,baned
102,Maman Ramadhani,i.syahputra@gmail.com,08370236335,2025-06-23,INACTIVE
104,GALIH MAULANA,galih104@gmail.com,08920902671,28/06/2024,baned
106,nina gunawan,nina.gunawan@gmail.com,08223610950,06-11-24,baned
107,ANI YULIANA,ani.yuliana@gmail.com,08079910344,24/03/25,Active
114,Bella Pangestu,b.pangestu@gmail.com,08131510327,17-06-2025,ACTIVE
118,Eka Aulia,eka.aulia@gmail.com,08557762983,01-01-2025,inactive
130,dedi permana,dedi_perm@gmail.com,08785435949,2024-05-30,inactve
131,Nando Saputra,nando.sap31@gmail.com,08516798355,10/06/25,INACTIVE
132,intan firmansyah,fajar.n@gmail.com,08199988776,17-08-24,baned
133,wawan Wijaya,w.wijaya@gmail.com,08476280105,30-05-2024,inactve
134,Fajar Siregar,fajar.sir34@gmail.com,08886100528,19/03/25,inactve
137,Lukman Santoso,lukman_sant@gmail.com,08902412062,10/03/2025,aktive
139,Cici Kurniawan,c.kurniawan@gmail.com,08162365799,25-07-2024,active
140,lina siregar,lina.siregar@gmail.com,08603190432,2024-09-04,actve
149,Budi Yuliana,b.yuliana@gmail.com,08439662973,04/05/2025,actve
160,Hani Wibowo,h.wibowo@gmail.com,08585513030,2024-12-31,actve
161,Candra Pangestu,candra161@gmail.com,08840892782,2024-06-25,Active
163,intan Santoso,intan.santoso@gmail.com,08993266779,08-09-2024,ACTIVE
168,Cici Yuliana,cici168@gmail.com,08979469982,01-07-2025,banned
177,Zaki Puspita,zaki_pusp@gmail.com,08506248935,04/01/2025,active
178,Candra Firmansyah,candra_firm@gmail.com,08292573749,10/05/2025,BANNED
179,Umar Kurniawan,umar.kurniawan@gmail.com,08764651013,31-07-2024,BANNED
182,Fitri Maharani,fitri182@gmail.com,08135689491,24/07/2024,inactive
184,Cici Santoso,c.santoso@gmail.com,08003299855,24-01-2025,Active
188,Eka Santoso,eka188@gmail.com,08565550411,18/01/2025,BANNED
189,Galih Firmansyah,galih.firmansyah@gmail.com,08437876021,23/08/2024,Active
200,dedi firmansyah,dedi200@gmail.com,08397579547,07/01/25,INACTIVE
227,Kiki Permana,k.permana@gmail.com,08697016679,29/07/24,baned
245,yani Rahmawati,yani245@gmail.com,08614249720,18/02/2025,Active
258,Mila Hamzah,mila258@gmail.com,08467092312,22-01-25,banned
261,OKTA HAMZAH,okta261@gmail.com,08020962270,27/06/24,actve
264,Hendra Aditya,intan.santoso@gmail.com,08993266779,28/08/24,banned
282,Qori Nugraha,qori_nugr@gmail.com,08657190903,22-10-24,ACTIVE
288,Asep Saputra,asep_sapu@gmail.com,08055743324,2024-08-29,inactve
293,Ani Aulia,ani.aul93@gmail.com,08561824984,31-10-2024,inactive
308,kiki kusuma,nina.hamzah@gmail.com,08167550213,05-11-2024,BANNED
311,gani ramadhani,gani.ramadhani@gmail.com,08094646386,29-06-2025,inactve
312,Nina Maulana,nina.maulana@gmail.com,08509401309,20-11-2024,active
314,Fajar Handayani,fajar.han14@gmail.com,08801698164,16-07-24,inactve
319,BELLA HERYANI,fajar.sir34@gmail.com,08886100528,19-06-24,inactive
322,Joko Syahputra,j.syahputra@gmail.com,08417963868,2025-06-03,active
328,Erwin Setiadi,e.setiadi@gmail.com,08580218398,29-04-25,actve
329,Okta Pangestu,okta.pangestu@gmail.com,08964322325,14-05-25,inactive
330,erwin lestari,budi.santoso@gmail.com,08123456789,02-02-2025,inactve
334,Mila Syahputra,mila334@gmail.com,08560957765,26-10-2024,aktive
336,jihan kurniawan,jihan336@gmail.com,08905766372,2024-10-07,aktive
341,Oki Anggraini,okta261@gmail.com,08020962270,04/11/2024,aktive
343,indra Gunawan,indra343@gmail.com,08854109513,03/08/2024,inactve
344,Eka Nugraha,eka.nugraha@gmail.com,08321275621,2025-05-26,inactive
345,Wawan Anggraini,w.anggraini@gmail.com,08108621893,30/12/24,actve
346,Budi Heryani,b.heryani@gmail.com,08200810888,14/05/2024,inactve
347,Galih Ramadhani,g.ramadhani@gmail.com,08062510233,29-06-2025,banned
360,Candra Lestari,candra.lestari@gmail.com,08151816406,08/07/2024,ACTIVE
369,Dedi Ramadhani,dedi369@gmail.com,08040384596,28/02/2025,inactve
370,Galih Setiadi,g.setiadi@gmail.com,08319363135,2024-06-27,inactive
371,Hani Lestari,hani.lestari@gmail.com,08729368432,15-02-25,inactive
372,Lukman Permana,lukman_perm@gmail.com,08053830803,2024-09-11,aktive
375,Cici Saputra,cici.saputra@gmail.com,08325168425,03/08/2024,BANNED
381,Budi Kusuma,b.kusuma@gmail.com,08515101616,13/08/24,active
382,Okta Aulia,okta_auli@gmail.com,08770719727,2024-07-21,actve
395,Vina Heryani,vina.her95@gmail.com,08761010291,01/01/2025,active
396,Kartika Hamzah,b.saputra@gmail.com,08112273804,28-02-2025,aktive
403,Galih Anggraini,galih_angg@gmail.com,08977763959,20/08/2024,aktive
405,qori aditya,qori405@gmail.com,08893952405,04-08-24,BANNED
406,Maman Gunawan,maman406@gmail.com,08346942887,10-11-2024,actve
411,Budi Ramadhani,budi.ramadhani@gmail.com,08732138649,25/02/25,baned
416,lina Kusuma,l.kusuma@gmail.com,08799098339,28-06-25,actve
425,Maman Santoso,maman406@gmail.com,08346942887,08-08-2024,aktive
433,Budi Anggraini,budi433@gmail.com,08185457142,16-02-2025,baned
434,mila hakim,mila.hakim@gmail.com,08213717162,07-02-25,BANNED
436,intan hakim,intan_haki@gmail.com,08529200483,11/06/24,actve
454,Lukman Yuliana,l.yuliana@gmail.com,08285890687,09-05-25,banned
456,bella gunawan,bella456@gmail.com,08916775388,08/11/2024,inactve
466,Bella Ramadhani,bella466@gmail.com,08548159874,26/03/25,banned
467,Vina Maharani,vina.mah67@gmail.com,08058227092,2025-01-29,baned
